Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2020†","Dengue virus infections, Dengue, Cum 2020†, flag","Dengue virus infections, Dengue, Cum 2019†","Dengue virus infections, Dengue, Cum 2019†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2020†","Dengue virus infections, Dengue-like illness, Cum 2020†, flag","Dengue virus infections, Dengue-like illness, Cum 2019†","Dengue virus infections, Dengue-like illness, Cum 2019†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2020†","Dengue virus infections, Severe dengue,  Cum 2020†, flag","Dengue virus infections, Severe dengue,  Cum 2019†","Dengue virus infections, Severe dengue, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
LOUISIANA,2020,25,,-,1,,3,,2,,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20202545,POINT (-91.840238 30.921314)
NON-US RESIDENTS,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202569,
WEST VIRGINIA,2020,29,,-,0,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20202937,POINT (-80.613729 38.642579)
HAWAII,2020,25,,-,5,,3,,3,,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20202560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,25,,-,35,,42,,68,,,-,1,,1,,3,,,-,2,,,-,2,,,SOUTH ATLANTIC,20202528,
PENNSYLVANIA,2020,25,,-,4,,3,,6,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20202513,POINT (-77.838886 40.896694)
UTAH,2020,25,,-,2,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20202555,POINT (-111.678222 39.323779)
COLORADO,2020,25,,-,3,,3,,5,,,-,1,,,-,1,,,-,1,,,-,,-,COLORADO,,20202550,POINT (-105.547832 38.998552)
VERMONT,2020,25,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20202508,POINT (-72.662695 44.075252)
KENTUCKY,2020,25,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20202540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,25,,-,19,,184,,4,,,-,4,,21,,2,,,-,2,,8,,1,,PUERTO RICO,,20202567,POINT (-66.414655 18.215692)
MAINE,2020,25,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20202504,POINT (-69.06137 45.117911)
VIRGINIA,2020,25,,-,3,,4,,3,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20202536,POINT (-78.666382 37.510861)
ARIZONA,2020,25,,-,2,,4,,1,,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20202549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20202564,
WISCONSIN,2020,25,,-,2,,6,,4,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20202519,POINT (-89.732969 44.639954)
IDAHO,2020,25,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,IDAHO,,20202551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,25,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202568,POINT (-64.840836 18.060868)
MICHIGAN,2020,25,,-,3,,,-,5,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20202517,POINT (-85.730977 44.874798)
GEORGIA,2020,25,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20202532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,25,,-,9,,,-,15,,,-,1,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY,20202512,
ARKANSAS,2020,25,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20202544,POINT (-92.439162 34.899825)
