year,week,start.date,end.date,district,cases
2024,19,2024-05-04,2024-05-10,Kalutara,31
2024,19,2024-05-04,2024-05-10,Kandy,71
2024,19,2024-05-04,2024-05-10,Matale,13
2024,19,2024-05-04,2024-05-10,NuwaraEliya,4
2024,19,2024-05-04,2024-05-10,Galle,21
2024,19,2024-05-04,2024-05-10,Hambantota,18
2024,19,2024-05-04,2024-05-10,Matara,16
2024,19,2024-05-04,2024-05-10,Jaffna,19
2024,19,2024-05-04,2024-05-10,Kilinochchi,0
2024,19,2024-05-04,2024-05-10,Mannar,1
2024,19,2024-05-04,2024-05-10,Vavuniya,4
2024,19,2024-05-04,2024-05-10,Mullaitivu,2
2024,19,2024-05-04,2024-05-10,Batticaloa,19
2024,19,2024-05-04,2024-05-10,Ampara,0
2024,19,2024-05-04,2024-05-10,Trincomalee,18
2024,19,2024-05-04,2024-05-10,Kurunegala,34
2024,19,2024-05-04,2024-05-10,Puttalam,7
2024,19,2024-05-04,2024-05-10,Anuradhapura,5
2024,19,2024-05-04,2024-05-10,Polonnaruwa,6
2024,19,2024-05-04,2024-05-10,Badulla,7
2024,19,2024-05-04,2024-05-10,Monaragala,12
